見る、診る	check - looky look	みます
探す、捜す	look for, search	さがします
遅れる	to be late (for an appointment, etc) kunyomi	おくれます
間に合う、時間に	be in time (for an appointment, etc)	まにあう、じかんに
やる	(to)&nbsp;&nbsp;do not suru or itasu	
（～に）参加する	to attend, participate	（に）さんかする
申し込む	to apply for, enter for	もうしもみます
都合がいい	convenient (concerning time)	つごうがいい
都合が悪い	Inconvenient (concerning time)	つごうがわるい
気分がいい・わるい	Feeling well/ill not guai	きぶんがいい・わるい
新聞社	Newspaper publishing company, newspaper office	しんぶんしゃ
柔道	judo	じゅうどう
運動会	athletic meeting/competition	うんどうかい
場所	Place	ばしょ
ボランティア	volunteer	
～弁	Dialect (i.e. かんさいべん)	～べん
今度	next time, another time	こんど
ずいぶん	pretty, very, awfully	
直接	directly, immediate, firsthand	ちょくせつ
いつでも	any time	
どこでも	anywhere	
だれでも	anyone, any old bod	
何でも	anything	なんでも
こんな～	~like this	
そんな～	~like that (near the listener)	
あんな～	~ like that (far from both the speaker and the listener	
片づく	To be put in order not seiri	かたづきます
ごみ	garbage, trash, dust	
出す	Put out (the trash, etc)	だします
燃える	to be burned (trash, etc)	もえます
置き場	place where something is put	おきば
横	side not kawa or soba	よこ
瓶	Bottle	びん
缶	Can	かん
お湯	hot water	おゆ
ガス	Gas	
～会社	~company	～かいしゃ
連絡する	(to) contact	れんらく　します
困ったなあ	What should I do? I'm in a quandary.	こまったなあ
飼う	To keep a pet, raise an animal	かう
建てる	to build (a house, etc)	たてる
走る	To run, drive (along a road)	はしる
取る	to take (a vacation, etc)	とる
見える	~can be seen	みえる
聞こえる	~can be heard	きこえる
出来る	to be made, be completed, come into existence	できる
開く	set up, open, hold (not okonau)	ひらく
ペット	(a) pet	
鳥	bird	とり
声	voice	こえ
波	wave	なみ
花火	fireworks	はなび
景色	scenery, view	けしき
昼間	daytime	ひるま
昔	old days, long ago, ancient times	むかし
道具	tool, instrument, equipment	どうぐ
自動販売機	vending machine	じどうはんばいき
通信販売	mail order, mail order sales	つうしんはんばい
クリーニング	dry cleaning, laundry	
マンション	condo, apartment	
台所	kitchen	だいどころ
～教室	~class (room)	～きょうしつ
パーティールーム	party room	
～後	after~ (some period of time)	ご
～しか	only ~ (used with negative forms)	
他の~	other ~	ほかの
はっきり	clearly	
ほとんど	almost all (affirmative sentences); hardly, scarcely (in negative sentences)	
本棚	bookshelf	ほんだな
夢	(a) dream	ゆめ
いつか	someday, sometime	
家	house, home	いえ
すばらしい	wonderful, marvelous	
売れる	to be sold, sell	うれる
踊る	to dance	おどる
噛む-かむ	to chew, bite	
選ぶ	to choose, select	えらぶ
違う	to be different	ちがう
通う	to go and from, commute, attend	かよう
メモ(する）	take a memo	
まじめ（な）	serious	
熱心<br>ねっしん（な）	earnest	
優しい	gentle, kind not shinsetsu	やさしい
偉い	great, admirable	えらい
ちょうどいい	proper, just right	
習慣	custom, habit, manners	しゅうかん
経験	experience	けいけん
力	power	ちから
人気	popularity	にんき
形	form, shape	かたち
色	color	いろ
味	taste, flavor	あじ
ガム	chewing gum	
品物	goods not 製品	しなもの
値段	price	ねだん
給料	salary	きゅうりょう
ボーナス	bonus	
番組	program (on television, etc)	ばんぐみ
ドラマ	drama (drama tv series, etc)	
小説	Novel (book)	しょうせつ
小説家	novelist	しょうせつか
管理人	janitor, caretaker, manager, landlady/landlord	かんりにん
息子	(my) son	むすこ
息子さん	(someone else's) son	むすこさん
娘	(my) daughter	むすめ
娘さん	(someone else's) daughter	むすめさん
自分	oneself	じぶん
将来	future	しょうらい
しばらく	a little while	
たいてい	usually, mostly	
それに	in addition	
それで	and so	
開く	a (door, etc) opens	あく
閉まる	a (door, etc) closes, shuts	しまる
点く	A (light, etc) comes on	つく
消える	A (light, etc) goes off, ~disappears	きえる
込む	to get crowded (a road, etc)	こむ
壊れる	to be broken, break (demolish intrans)	こわれる
空く	to get empty (a road, etc)	すく
割れる	(a glass, etc) breaks, smashes	われる
折れる	(a tree, etc) breaks, smashes	おれる
破れる	(the paper, etc) tears, rips	やぶれる
．．が汚れる	(the clothes, etc) get dirty	よごれる
付く	(a pocket, etc) be attached	つく
外れる	(a button, etc) be undone	はずれる
止まります	(an elevator, car, etc) stops	とまります
まちがえる	make a mistake	
落とす	to drop, lose	おとす
ドアが)掛かる	to be locked	かかる
｛お｝皿	plate, dish	さら
｛お｝ちゃわん	rice bowl (bowl for rice)	
コップ	glass, cup	
グラス	glass (the physical material)	
袋	bag	ふくろ
財布	wallet, purse	さいふ
枝	branch, twig	えだ
駅員	(train) station employee	えきいん
この辺	This neighborhood, around here	このへん
～辺	The place around ~ not tokoro	～へん
このくらい	about this size	
お先にどうぞ	After you/go ahead please	おさきにどうぞ
｛ああ｝よかった	Thank goodness; (used to express a feeling of relief)	
(～が)始まる	begin, start	はじまる
．．を続ける	continue trans.	つづける
見つける	to find	みつける
受ける	to take (an examination, etc)	うける
(～に)入学する	To enter (a university, etc)	にゅうがくする
(～を)卒業する	to graduate (from a university, etc)	そつぎょうする
(～に)出席する	To attend (a meeting, etc)	しゅっせきする
休憩する	to take a break, take a rest jukugo	きゅうけいする
連休	Consecutive holidays	れんきゅう
作文	Essay, written composition not bunshou	さくぶん
展覧会	Exhibition (art, etc)	てんらんかい
結婚式	Wedding ceremony	けっこんしき
(お)葬式	Funeral	そうしき
式	Ceremony (often used as a suffix)	しき
本社	Head office, headquarters	ほんしゃ
支店	Branch office	してん
教会	Church	きょうかい
大学院	Graduate school	だいがくいん
動物園	Zoo	どうぶつえん
温泉	Hot Spring, spa	おんせん
お客(さん)	Visitor, guest, customer, client	おきゃく
だれか	somebody, someone	
～の方	place toward ~, in the direction of ~ not 向こう	のほう
ずっと	all the time not itsumo	
残る	To remain, to be left	のこる
月に	per month	つきに
普通の	Ordinary, common, usual	ふつうの
インターネット	(the)&nbsp;&nbsp;Internet	
運動する	To exercise	うんどうする
成功する	To suceed (not goukaku)	せいこうする
(～に)失敗する	To fail (an exam, etc)	しっぱいする
(～に)合格する	To pass (an exam, etc)	ごうかくする
戻る	To return (not kaeru)	もどる
(～が)やむ	(rain, etc) stops	
晴れる	To clear up - get brighter	はれる
曇る	To get cloudy	くもる
(～が)吹く	(wind, etc) blows	ふく
(～が)直る、治る	To be fixed, to be repaired (items)<br>To recover, to get well (sickness)	なおる
(～が)続く	continue intrans	つづく
(～を) 引/弾 ーひく	to catch (a cold, etc)  play piano	
心配(な)	worried, anxious not fuan	しんぱい
十分(な)	enough, sufficient	じゅうぶん
おかしい	strange, funny	
うるさい	noisy	
火傷ーやけど(をする)	burning (to get burned) injury not moeru	
怪我 けが(をする)	injury (to get injured)	
咳 せき(をでる)	cough (to have a cough)	
インフルエンザ	Influenza (the flu)	
空	sky	そら
太陽	sun	たいよう
星	star	ほし
月	moon	つき
風	wind	かぜ
北	north	きた
南	south	みなみ
西	west not seiyou	にし
東	east	ひがし
水道	faucet, tap, water supply	すいどう
エンジン	engine	
チーム	Team	
今夜	This evening	こんや
夕方	late afternoon	ゆうがた
まえ	A time in the past, before	
遅く	late (time)	おそく
こんなに	like this	
そんなに	like that (concerning a matter related to the listener)	
あんなに	Like that (concerning a matter not related to the speaker or the listener), "that much"	
もしかしたら	possibly, perhaps - not tabun	
それはいけませんね	That's too bad	
オリンピック	Olympic Games	
元気	vigor, energy, liveliness	げんき
胃	stomach	い
働きすぎ	working too much	はたらきすぎ
ストレス	Stress	
無理をする	To work more than one's capacity	むりをする
ゆっくりする	to take one's time	
逃げる	to run away	にげる
騒ぐ	to make a noise	さわぐ
諦 (あきら)める	to give up, resign oneself to	
投げる	to throw	なげる
守る	To keep, follow, obey, protect	まもる
上げる	To raise, lift up	あげる
下げる	to lower, pull down	さげる
伝える	To convey (a message, etc)	つたえる
(～に)注意する	to be careful (of cars, etc)	ちゅういする
(～を)外す	To be away (from one's desk, etc)	はずす
だめ(な)	no good, not permitted, not possible	
席	seat	せき
ファイト	fight	
マーク	mark	
ボール	ball	
洗濯機	washing machine	せんたくき
～機	~machine (suffix)	き
規則	regulation, rule	きそく
使用禁止	Do not use	しようきんし
立入り禁止	Keep out	たちいりきんし
入口	entrance not 玄関	いりぐち
出口	exit	でぐち
非常口	emergency exit	ひじょうぐち
無料	free of charge	むりょう
本日休業	closed today	ほんじつきゅうぎょう
営業中	open for business	えいぎょうちゅう
使用中	In use	しようちゅう
～中	~ing (suffix)	ちゅう
どういう～	what kind of ~	
もう .. いません	(not) any longer - (when used with negatives)	
あと～	~left, remaining not nokori	
駐車違反	Parking violation	ちゅうしゃいはん
そりゃあ	well...	
～以内	within ~ (time periods, money, etc)	いない
警察	Police	けいさつ
罰金	Penalty, fine (monetary penalty)	ばっきん
(歯を)磨く	to brush(one's teeth, etc), to polish	(はを)みがく
組み立てる	To assemble, to construct	くみたてる
折る	to bend, fold, break, snap trans.	おる
(～に)気が付く	to notice, to become aware of	きがつく
(砂糖～を)つける	to put something on a food item (such as soy sauce, mayo, etc)	
(～が)見つかる	to be found (intrans)	みつかる
(～を)する	to put on, to wear (for use with accessories, such as a necktie, necklace, or watch)	
質問する	to ask a question	しつもんする
細い	thin (of small diameter)	ほそい
太い	thick, of large diameter not atsui	ふとい
盆踊り	Bon Festival dance	ぼんおどり
スポーツクラブ	sports club	
家具	furniture	かぐ
キー	key	
シートベルト	seatbelt	
説明書	explanatory pamphlet, instruction book	せつめいしょ
図	a figure, drawing	ず
線	a line, lines	せん
矢印	arrow (sign)	やじるし
黒	black (noun)	くろ
白	White (noun)	しろ
赤	red (noun)	あか
青	blue (noun)	あお
紺	dark blue, navy blue (noun)	こん
黄色	yellow (noun)	きいろ
茶色	brown (noun)	ちゃいろ
しょうゆ	Soy sauce	
ソース	sauce (sometimes specifically worcestershire sauce)	
～か～	~ or ~	
ゆうべ	last night	
さっき	a short while ago	
茶道	tea ceremony	さどう
お茶をたてる	to make green tea	おちゃ
先に	first (when expressing order- such as doing something before something else) not mazu or saisho	さきに
載せる	to place on, to load onto	のせる
苦い	bitter	にがい
(はなが)咲く	(flowers, etc) bloom	さく
(～が)変わる	~changes (color, etc) intrans	かわる
困る	to be in trouble, to have a problem	こまる
(～を)付ける	to draw ( a circle, etc), to mark with (a circle, etc)	つける
拾う	to pick up (something from the ground, etc)	ひろう
かかる	to get through (on the phone), to have (a phone call)	
楽	comfortable, easy	らく
正しい	correct, right	ただしい
珍しい	rare, uncommon	めずらしい
方	person (used as a respectful equivalent of 人)	かた
向こう	over there, the other side not sotogawa	むこう
島	island	しま
村	village	むら
港	port, harbor	みなと
近所	neighborhood, vicinity	きんじょ
屋上	rooftop	おくじょう
海外	overseas	かいがい
山登り	mountain climbing	やまのぼり
ハイキング	hiking	
機会	chance, opportunity	きかい
許可	permission	きょか
丸	circle	まる
操作	(business) operation, management, processing	そうさ
方法	method not shikata	ほうほう
設備	equipment, facilities	せつび
紐 (ひも)	string	
蓋 ー ふた	lid, cover, cap	
葉	leaf	は
曲	a piece of music	きょく
楽しみ	pleasure, enjoyment, expectation	たのしみ
もっと	more	
初めに	first -  to start with not saki ni or saisho or mazu	はじめに
これで終わります	We'll finish now	おわります
箱根	Resort area in Kanagawa prefecture	はこね
日光	tourist spot in Tochigi prefecture	にっこう
白馬）	resort area in Nagano prefecture	はくば
アフリカ	Africa	
それなら	in that case	
夜行バス	night bus	やこうバス
旅行者	travel agency	りょこうしゃ
詳しい	detailed	くわしい
スキー場	Ski area, ski resort	スキーじょう
草津	resort area in Gunma prefecture	くさつ
志賀高原	national park in Nagano prefecture	しがこうげん
(～が)届	to be delivered (packages, etc)	とどく
(～に)出る	to participate, appear (in a game, etc) not 参加する	（～に）でる
(～を)打つ	to type (on a word processor, etc)	うつ
貯金する	to save money	ちょきんする
太る	to gain weight, get fat	ふとる
痩せる (やせる	to get slim, lose weight	
(～を)過ぎる	to pass (a time, a place), exceed	すぎる
(～に)慣れる	to get accustomed to, acquainted with, used to	なれる
硬い	hard, tough, solid	かたい
軟らかい 柔らかい	soft, tender	やわらかい
電子～	electronic ~	でんし～
携帯	portable ~	けいたい
工場	factory	こうじょう
健康	health	けんこう
剣道	Kendo (Japanese-style fencing)	けんどう
毎週	every week	まいしゅう
毎月	every month	まいつき
毎年	every year	まいとし・まいねん
やっと	finally not saigo	
かなり	fairly	
必ず	without fail, certainly, by any means not zehi	かならず
絶対に	absolutely (often used with negatives) jukugo	ぜったいに
上手に	well, skillfully	じょうずに
できるだけ	as much as possible	
このごろ	these days	
～ずつ	~(an amount) per (something)	
そのほうが～	That is more ~	
ショパン	Chopin (Polish composer)	
お客様	guest, customer	おきゃくさま
特別（な）	special	とくべつ（な）
～していらっしゃいます	to be doing ~ (a respectful version of している)	
水泳	swimming	すいえい
～とか、～とか	~,~, and so on	
タンゴ	tango (dance)	
チャレンジする	to challenge	
気持ち	feeling, enthusiasm	きもち
褒める	to praise	ほめる
しかる	to scold	
誘う	to invite, to ask someone to join (onyomi) not 招待	さそう
起こす	to wake (someone) up	おこす
招待する	to invite jukugo	しょうたいする
頼む	to ask, request	たのむ
注意する	to warn, advise	ちゅういする
とる	to rob, steal not nusumu	
踏む	to step on (someone's foot, etc)	ふむ
壊す	to break, destroy demolish trans.	こわす
汚す	to make ~ dirty	よごす
行う	to hold, carry out, practice	おこなう
輸出する	to export	ゆしゅつする
輸入する	to import	ゆにゅうする
翻訳する	to translate	ほんやくする
発明する	to invent	はつめいする
発見する	to discover	はっけんする
設計する	to design, plan not 計画	せっけいする
米	rice	こめ
麦	barley, wheat	むぎ
石油	(mineral) oil	せきゆ
原料	raw material not 材料	げんりょう
デート	date	
泥棒	thief, robber	どろぼう
警官	policeman	けいかん
建築家	architect	けんちくか
科学者	scientist	かがくしゃ
漫画	cartoon, comic	まんが
世界中	all over the world	せかいじゅう
～中	all over ~	じゅう
～によって	by~	
よかったですね	that's lucky, isn't it?	
ドミニカ	Dominica	
ライト兄弟	Wright brothers	ライトきょうだい
源氏物語	The Tale of Genji	げんじものがたり
江戸時代	Edo period (1603-1868)	えどじだい
埋め立てる	to reclaim	うめたてる
技術	technology, technique	ぎじゅつ
土地	land	とち
騒音	noise jukugo	そうおん
利用する	use (to use) not tsukau	りよう
アクセス	access	
育てる	to breed, raise, bring up - not kau	そだてる
運ぶ	to carry, transport	はこぶ
亡くなる	to pass away	なくなる
入院する	to enter a hospital	にゅういんする
退院する	to leave a hospital	たいいんする
入れる	to turn on (a device, switch) not tsukeru	いれる
切る	to turn off (a device, power switch) not kesu	きる
掛ける	to lock (a door, etc)	かける
気持ちがいい	pleasant, agreeable (mood)	きもち
気持ちが悪い	unpleasant, disgusting (mood)	きもちがわるい
大きな～	large ~	おおきな
小さな～	small ~	ちいさな
小学校	elementary school	しょうがっこう
中学校	junior high school (middle school)	ちゅうがっこう
駅前	the area in front of the station	えきまえ
海岸	seaside, seashore	かいがん
嘘	lie, fib	うそ
書類	document, papers, paperwork	しょるい
電源	power switch	でんげん
～製	made in ~ (country name)	せい
(あ、)いけない	oops!, "oh no!" (used when one has made a mistake)	
お先に	excuse me for ~ before (used when performing an action before someone and acknowledging that it could potentially be rude to do so- often used　together with しつれします)	おさきに
回覧	circular, sending around	かいらん
研究室	study room, professor's office, research office, laboratory	けんきゅうしつ
きちんと	neatly, tidily not ちゃんと	
